,Compression Type,Compression Method,Compression Ratio,Localization Error Mean,Localization Error Std,Uncertainty Mean,Uncertainty Std,FP Rate,FN Rate,Error Rate
-1,lossless,BloscZstd,1.6,N/A,N/A,12.5922712083351,6.40097063006999,N/A,N/A,N/A
1,beta10-AV1,beta10_AV1Q1,6.25124209070615,5.09507010323227,17.22765681,12.5661124226145,6.39191789659426,0.006805642,0.008888126,0.0156937675776638
2,beta10-AV1,beta10_AV1Q2,7.94914663665669,6.38133338523981,18.9034807920539,12.5299458848245,6.40145490385477,0.009485066,0.0113906434000642,0.0208757092388395
3,beta10-AV1,beta10_AV1Q3,9.77912029503779,8.26378732758194,21.2684354192618,12.4500066494521,6.36125712042515,0.0118335611756664,0.01561432,0.027447881
4,beta10-AV1,beta10_AV1Q4,12.2070252936178,10.01386004158,22.9487981416212,12.3379499741451,6.33437259143371,0.0139608244346399,0.0189909840782659,0.032951809
5,beta10-AV1,beta10_AV1Q5,15.4261409420808,12.2605604393212,26.1785595284746,12.1599140008699,6.28141785685559,0.0170823949347724,0.0230739812178643,0.040156376
6,beta10-AV1,beta10_AV1Q6,19.7616097138718,14.1409335082865,27.7416803408897,11.9521886457811,6.22465443547082,0.0197898126959912,0.027438766,0.0472285786931096
7,beta10-AV1,beta10_AV1Q7,25.5616873669891,16.2163109000884,30.2199751266637,11.7082280370565,6.16626567666912,0.0219863853536848,0.032429918,0.054416304
8,beta10-AV1,beta10_AV1Q8,33.4507214653382,17.2377617782772,30.6968380540522,11.5155573954527,6.19439464626064,0.0242760424356189,0.0361926054035813,0.060468648
9,beta10-AV1,beta10_AV1Q9,43.6583150442386,18.9703037870337,32.2145293339809,11.3003986266359,6.16158880178701,0.0251396059424718,0.041934464,0.06707407
10,beta10-AV1,beta10_AV1Q10,56.6352114434997,20.7009830495284,33.6576340543148,11.1057711352041,6.14016148039872,0.0272304813171563,0.0438421262905566,0.071072608
11,beta10-AV1,beta10_AV1Q11,69.04171433,22.036543532332,34.4142511911122,10.9120708279988,6.07375572387655,0.028170493,0.04833729,0.076507783
12,beta8-scale,beta8_Blosc-Zstd,3.477952,2.258298,12.147641,12.607102,6.405824,0.003554,0.004652,0.008206
13,beta8-scale,beta8_scale0.9_Blosc-Zstd,3.601062,2.550904,13.045179,12.606153,6.39404,0.003382,0.004481,0.007863
14,beta8-scale,beta8_scale0.8_Blosc-Zstd,3.749835,2.807505,13.394709,12.610979,6.398029,0.004047,0.005102,0.00915
15,beta8-scale,beta8_scale0.7_Blosc-Zstd,3.93144,3.04616,13.255655,12.61757,6.406994,0.004176,0.00579,0.009966
16,beta8-scale,beta8_scale0.6_Blosc-Zstd,4.16673,3.598902,14.924724,12.629165,6.401412,0.004819,0.007293,0.012111
17,beta8-scale,beta8_scale0.5_Blosc-Zstd,4.479269,4.204359,15.653376,12.643991,6.410385,0.005482,0.008728,0.01421
18,beta8-scale,beta8_scale0.4_Blosc-Zstd,4.926812,5.136665,16.97812,12.686819,6.430313,0.006678,0.010328,0.017006
19,beta8-scale,beta8_scale0.3_Blosc-Zstd,5.650445,6.564472,18.336127,12.749459,6.416601,0.008105,0.014108,0.022213
20,beta8-scale,beta8_scale0.2_Blosc-Zstd,7.041613,9.471543,21.91479,12.949018,6.479426,0.010375,0.022226,0.032601
21,beta8-scale,beta8_scale0.1_Blosc-Zstd,11.492396,17.680354,30.03268,13.924551,6.795965,0.018605,0.042597,0.061202
24,beta10-scale,beta10_Blosc-Zstd,2.64837370175586,0.825586501179598,8.04138544527291,12.5889810159375,6.39220461306775,0.001403069,0.001813197,0.003216267
25,beta10-scale,beta10_scale0.9_Blosc-Zstd,2.71060042130294,0.92826982537379,8.38507176812698,12.5947726655855,6.40234096289058,0.001403069,0.001770026,0.003173096
26,beta10-scale,beta10_scale0.8_Blosc-Zstd,2.78062659,1.03631495683133,8.533310539,12.5961355412856,6.40246613164851,0.001532385,0.001769797,0.003302182
27,beta10-scale,beta10_scale0.7_Blosc-Zstd,2.86357495731811,1.14227957778805,8.955491102,12.5965966253622,6.40640792292927,0.001855528,0.002287046,0.004142574
28,beta10-scale,beta10_scale0.6_Blosc-Zstd,2.97037745134485,1.27299467278862,8.98069214300447,12.5954944284138,6.39828425305304,0.001833991,0.002502859,0.00433685
29,beta10-scale,beta10_scale0.5_Blosc-Zstd,3.11531937647137,1.51880470910041,10.1386793665629,12.601904436705,6.41629829236521,0.002329092,0.003062325,0.005391417
30,beta10-scale,beta10_scale0.4_Blosc-Zstd,3.32209975039929,1.84747699304356,10.9650173251629,12.609489666573,6.41372279229774,0.003060081,0.003383329,0.00644341
31,beta10-scale,beta10_scale0.3_Blosc-Zstd,3.64418143369286,2.42030528732625,12.4775971035357,12.614563744563,6.41786565723041,0.00359689,0.004695341,0.008292231
32,beta10-scale,beta10_scale0.2_Blosc-Zstd,4.24042696701337,3.46643805127588,14.4732112750869,12.6466189140556,6.42253084484728,0.00511828,0.006860215,0.0119784946236559
33,beta10-scale,beta10_scale0.1_Blosc-Zstd,5.80635219931003,6.51323667307358,18.9896432982208,12.7951623088127,6.47874357662829,0.007785523,0.0133619302949062,0.021147453
34,sqrt8-scale,sqrt8_BloscZstd,4.33694385966273,4.14959153215084,15.5252093402842,12.6413761186235,6.41270745383752,0.005631502,0.008124839,0.013756341
35,sqrt8-scale,sqrt8_scale0.9_BloscZstd,4.52757656845013,4.42513487850105,15.7017463378119,12.6711873636659,6.44676178773045,0.006101491,0.008400292,0.0145017831822283
36,sqrt8-scale,sqrt8_scale0.8_BloscZstd,4.76135432063628,4.97537823821857,16.2885597525598,12.6718652467048,6.41505364318124,0.006592368,0.009469819,0.016062187
37,sqrt8-scale,sqrt8_scale0.7_BloscZstd,5.0546574995214,5.61942928075978,17.6879818584467,12.6882877694214,6.43374011770949,0.006912245,0.012407694,0.0193199381761978
38,sqrt8-scale,sqrt8_scale0.6_BloscZstd,5.43624590730106,6.47790474564839,18.414897986362,12.7467067331205,6.44125530539521,0.008869655,0.0134758762533208,0.0223455308938212
39,sqrt8-scale,sqrt8_scale0.5_BloscZstd,5.96338094292908,7.67690831678917,20.3462541145002,12.8091319467351,6.46845385667767,0.01001498,0.0164990370211855,0.0265140166916328
40,sqrt8-scale,sqrt8_scale0.4_BloscZstd,6.737370004,9.26423646081567,21.8000417239832,12.8901691402735,6.45873754095679,0.010607810428162,0.0208734334231575,0.031481244
41,sqrt8-scale,sqrt8_scale0.3_BloscZstd,8.01174200346979,12.030906759002,24.8511984902757,13.1472030853286,6.534975423,0.0129931087452796,0.0296131936591923,0.042606302
42,sqrt8-scale,sqrt8_scale0.2_BloscZstd,10.1714801837954,16.933904065769,29.2632949839115,13.5895363142602,6.67042851953605,0.0162881687505316,0.0486518669728672,0.064940036
43,sqrt8-scale,sqrt8_scale0.1_BloscZstd,12.9579860291934,28.1180002196694,37.9798149496639,13.9223724177969,7.2441577836655,0.0225443174375119,0.144731559931543,0.167275877369055
44,beta10-AV1-NM5,beta10_AV1Q1_grain5,7.52308285509326,12.281064763876,30.4546416613903,89.7031783377976,30.608748409661,0.0159420289855072,0.0133418584825234,0.0292838874680307
45,beta10-AV1-NM5,beta10_AV1Q2_grain5,9.60275203420928,14.0929022588737,32.910180260423,89.9181710833496,30.7634209452294,0.0173452231468278,0.0161746866154468,0.0335199097622747
46,beta10-AV1-NM5,beta10_AV1Q3_grain5,12.5096054059857,16.3771806708534,35.5160429274859,90.0936475362319,31.0998192108486,0.0182227986986753,0.0184566969316805,0.0366794956303557
47,beta10-AV1-NM5,beta10_AV1Q4_grain5,16.7081735154361,18.7629874485834,37.3872342529139,90.2004229882511,31.222204365934,0.0200356566771373,0.0226886832498514,0.0427243399269887
48,beta10-AV1-NM5,beta10_AV1Q5_grain5,22.1693816626623,21.3309566448044,41.3907032787419,90.1549915583482,31.1684579139042,0.0225044987826823,0.0279665502275855,0.0504710490102678
49,beta10-AV1-NM5,beta10_AV1Q6_grain5,28.8819667193087,22.8515779611947,41.3077379776842,90.0352079869547,31.2216527396409,0.0214479484571041,0.0317268565615463,0.0531748050186504
50,beta10-AV1-NM5,beta10_AV1Q7_grain5,37.7559580531457,25.1618614761294,43.6154506025498,90.0994471227492,31.4203028344055,0.0240953669259385,0.0374535001690903,0.0615488670950287
51,beta10-AV1-NM5,beta10_AV1Q8_grain5,48.1698455531952,27.0004263887294,44.7100732965416,90.0652053513775,31.4718715277324,0.0249197499577631,0.041075350565974,0.0659951005237371
52,beta10-AV1-NM5,beta10_AV1Q9_grain5,59.3466154058365,29.8211951761313,47.8293190770636,90.0816029348932,31.5041092619079,0.0254137115839244,0.0455504896994259,0.0709642012833502
53,beta10-AV1-NM5,beta10_AV1Q10_grain5,68.6620072183257,31.9726427360126,49.2281213361659,90.1161396144016,31.5636396643713,0.02619479478635,0.0510186864639136,0.0772134812502636
54,beta10-AV1-NM5,beta10_AV1Q11_grain5,75.0140666876784,33.4666703298738,50.5792392005728,90.1827481095988,31.6334667677719,0.0269131067040401,0.0523720204851525,0.0792851271891926
